Order_Quantity,Net_price,dubai_marker,premium,api_60F,water_vol_perc,water_mass_perc,sulfur_mass_perc,salt_lbs_per_kbbl,mechanical_impur_mass_perc,mechanical_impur_vol_perc
683713.91,106.65,99.145,7.505,35.98,0.042225,0.05,0.274,2.675,0.004,0.002
703521.01,105.96,99.145,6.815,35.78,0.034,0.04,0.282,2.24,0.005,0.002
349858.43,106.7,99.145,7.555,35.98,0.042225,0.05,0.274,2.675,0.004,0.002
665796.75,114.4,108.588,5.812,35.12,0.033952,0.04,0.292,2.242,0.007,0.003
716741.66,113.89,108.588,5.302,35.12,0.033952,0.04,0.301,2.879,0.01,0.004
713788.03,116.17,111.217,4.953,35.98,0.03378,0.04,0.271,2.159,0.006,0.003
715696.86,116.57,111.217,5.353,36.22,0.050592,0.06,0.271,2.449,0.006,0.003
717433.93,114.95,108.87,6.08,36.31,0.058996,0.07,0.266,3.464,0.008,0.003
709468.64,114.8,108.87,5.93,36.23,0.059,0.07,0.267,3.012,0.005,0.002
706981.49,115.12,107.259,7.861,36.24,0.303516,0.36,0.264,13.765,0.01,0.004
89018.95,114.92,108.87,6.05,36.26,0.051,0.06,0.267,3.238,0.004,0.002
90975.2,115.2,107.259,7.941,36.17,0.15183,0.18,0.273,7.476,0.01,0.004
711372.46,114.62,106.34,8.28,36.3,0.075852,0.09,0.265,3.967,0.006,0.003
707121.94,115.43,106.34,9.09,37.55,0.117124,0.14,0.232,6.687,0.008,0.003
708649.82,114.98,106.34,8.64,38.59,0.04989,0.06,0.214,3.581,0.004,0.002
710569.41,116.28,107.937,8.343,38.45,0.049932,0.06,0.219,2.95,0.005,0.002
665447.93,120.25,111.095,9.155,37.09,0.050334,0.06,0.234,2.636,0.004,0.002
714648.66,119.3,111.095,8.205,37.29,0.041895,0.05,0.242,3.013,0.004,0.002
714696.23,114.1,105.553,8.547,37.21,0.041915,0.05,0.239,2.882,0.006,0.003
711239.49,110.34,101.676,8.664,36.92,0.100764,0.12,0.269,5.325,0.007,0.003
713410.78,110.34,101.676,8.664,36.09,0.345999,0.41,0.252,18.134,0.012,0.005
715764.11,109.18,100.326,8.854,36.11,0.185636,0.22,0.267,10.464,0.008,0.003
697403.79,108.83,100.326,8.504,36.32,0.353976,0.42,0.256,21.807,0.02,0.008
719212.81,107.53,100.326,7.204,36.1,0.101268,0.12,0.272,5.417,0.009,0.004
719212.81,105.93,100.326,5.604,36.1,0.101268,0.12,0.272,5.417,0.009,0.004
716674.58,107.07,100.324,6.746,36.23,0.177072,0.21,0.264,9.891,0.009,0.004
716544.59,108.77,103.522,5.248,35.46,0.211775,0.25,0.273,12.58,0.01,0.004
697447.53,108.77,103.522,5.248,35.8,0.160626,0.19,0.28,8.562,0.009,0.004
712592.67,113.26,107.108,6.152,36.37,0.210625,0.25,0.268,12.355,0.014,0.006
712896.27,114.14,107.108,7.032,36.24,0.134896,0.16,0.268,7.516,0.006,0.003
716547.28,116.24,108.276,7.964,36.45,0.176841,0.21,0.262,10.772,0.009,0.004
717130.8,116.58,108.276,8.304,36.38,0.25272,0.3,0.258,17.056,0.012,0.005
716547.28,116.04,108.276,7.764,36.45,0.176841,0.21,0.262,10.772,0.009,0.004
717779.47,115.95,106.636,9.314,36.09,0.042195,0.05,0.28,2.746,0.002,0.001
708615.99,116.41,105.946,10.464,36.69,0.058863,0.07,0.272,2.613,0.003,0.001
711744.75,115.91,105.946,9.964,36.68,0.100908,0.12,0.27,5.575,0.005,0.002
709574.11,116.66,105.946,10.714,36.89,0.058793,0.07,0.266,3.367,0.006,0.003
709690.66,116.77,107.863,8.907,36.43,0.185284,0.22,0.273,10.331,0.008,0.003
706578.52,115.62,107.863,7.757,36.69,0.369996,0.44,0.252,18.433,0.01,0.004
710415.24,111.98,104.02,7.96,37.34,0.075393,0.09,0.245,5.503,0.005,0.002
712382.87,112.21,104.02,8.19,36.96,0.08395,0.1,0.26,4.994,0.007,0.003
709304.92,114.05,105.035,9.015,37.19,0.100608,0.12,0.24,7.137,0.005,0.002
711213.13,114.3,105.035,9.265,37.34,0.108901,0.13,0.253,6.566,0.008,0.003
710080.29,114,104.316,9.684,37.02,0.134288,0.16,0.253,9.642,0.006,0.003
710054.51,112.98,104.316,8.664,37.1,0.134224,0.16,0.269,7.469,0.007,0.003
709630.79,113.34,104.683,8.657,37.06,0.117474,0.14,0.249,8.271,0.006,0.003
665502.04,112.59,104.683,7.907,37.02,0.075,0.09,0.254,5.249,0.011,0.004
722485.21,112.69,105.665,7.025,36.65,0.067288,0.08,0.268,4.39,0.024,0.01
721044.06,113.26,105.665,7.595,36.41,0.101076,0.12,0.275,7.624,0.01,0.004
711388.85,115.74,108.032,7.708,36.34,0.092686,0.11,0.274,6.733,0.004,0.002
664670.31,115.34,108.032,7.308,36.37,0.176925,0.21,0.276,12.815,0.012,0.005
713271.4,115.34,108.032,7.308,36.33,0.244383,0.29,0.262,18.029,0.01,0.004
665114.77,113.96,106.149,7.811,36.94,0.134352,0.16,0.256,10.171,0.007,0.003
714800.09,110.04,101.733,8.307,36.67,0.46255,0.55,0.253,28.211,0.015,0.006
714273.55,110.18,101.733,8.447,36.13,0.227799,0.27,0.29,12.223,0.018,0.008
708560.97,103.17,96.472,6.698,35.74,0.059199,0.07,0.286,3.203,0.006,0.003
712331.07,102.48,96.472,6.008,35.61,0.093082,0.11,0.273,5.418,0.006,0.003
706918.18,90.92,86.627,4.293,36.07,0.15192,0.18,0.271,10.353,0.006,0.003
381521.88,91.04,86.627,4.413,36.15,0.12654,0.15,0.282,7.041,0.004,0.002
315537.5,90.93,86.627,4.303,36.15,0.12654,0.15,0.282,7.041,0.004,0.002
